loyalty_number,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_cost_points_redeemed,country,province,city,postal_code,gender,education,salary,marital_status,loyalty_card,enrollment_type,cancellation_year,cancellation_month,salary_bracket
100018,46,81190,81190.0,1513,272,Canada,Alberta,Edmonton,T9G 1W3,Female,Bachelor,92552.0,Married,Aurora,Standard,0.0,0.0,Medium
100364,33,45955,45955.0,559,101,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,76849.0,Married,Nova,Standard,0.0,7.0,Medium
100380,33,55270,55270.0,1142,206,Canada,Quebec,Montreal,H2T 9K8,Female,Bachelor,69695.0,Single,Star,Standard,0.0,0.0,Medium
100428,35,58281,58281.0,1658,298,Canada,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,63478.0,Married,Aurora,Standard,0.0,0.0,Medium
100504,19,27837,27837.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Female,Bachelor,75638.0,Divorced,Nova,Standard,2018.0,0.0,Medium
100550,42,51687,51687.0,1114,201,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,54133.0,Married,Nova,Standard,0.0,0.0,Medium
100585,41,68112,68112.0,2397,432,Canada,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,96269.0,Divorced,Star,Standard,0.0,0.0,Medium
100590,28,30948,46422.0,512,92,Canada,British Columbia,Vancouver,V6E 3Z3,Female,Bachelor,69841.0,Married,Star,2018 Promotion,0.0,0.0,Medium
100737,47,66830,66830.0,2357,425,Canada,British Columbia,Vancouver,V5R 1W3,Female,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
100753,51,64171,64171.0,750,135,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,47717.0,Divorced,Star,Standard,0.0,0.0,Low
100890,27,39394,39394.0,1612,290,Canada,Ontario,Toronto,P1W 1K4,Female,College,79245.6094087527,Divorced,Nova,Standard,0.0,0.0,Medium
101148,30,47570,47570.0,714,129,Canada,British Columbia,West Vancouver,V6V 8Z3,Female,High School or Below,45229.0,Single,Nova,Standard,0.0,0.0,Low
101356,0,0,0.0,0,0,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,50688.0,Married,Nova,Standard,0.0,0.0,Medium
101363,31,50697,50697.0,1760,317,Canada,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,59310.0,Married,Star,Standard,0.0,0.0,Medium
101644,2,2974,2974.0,0,0,Canada,Ontario,Toronto,P1L 8X8,Female,Master,101038.0,Married,Star,Standard,0.0,0.0,High
101663,41,60109,60109.0,961,173,Canada,Ontario,Toronto,M2M 7K8,Male,Bachelor,94946.0,Married,Aurora,Standard,0.0,0.0,Medium
101768,1,1733,1733.0,0,0,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,70267.0,Single,Nova,Standard,0.0,0.0,Medium
101876,12,18264,18264.0,1187,214,Canada,Quebec,Quebec City,G1B 3L5,Male,College,79245.6094087527,Single,Aurora,Standard,2018.0,0.0,Medium
101902,77,131909,131909.0,1302,235,Canada,Ontario,London,M5B 3E4,Female,College,79245.6094087527,Married,Aurora,Standard,0.0,0.0,Medium
102184,45,69058,69058.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,76887.0,Married,Star,Standard,0.0,0.0,Medium
102376,73,79580,119370.0,556,100,Canada,Ontario,Sudbury,M5V 1G5,Male,College,79245.6094087527,Single,Aurora,2018 Promotion,0.0,0.0,Medium
102464,14,17067,17067.0,761,137,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,60563.0,Married,Star,Standard,0.0,0.0,Medium
102615,2,4556,4556.0,0,0,Canada,Saskatchewan,Regina,S1J 3C5,Female,Doctor,51630.0,Married,Aurora,Standard,0.0,0.0,Medium
102726,21,25020,25020.0,1426,256,Canada,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,84147.0,Married,Nova,Standard,0.0,0.0,Medium
102730,27,41890,41890.0,0,0,Canada,New Brunswick,Moncton,E1A 2A7,Male,High School or Below,80919.0,Single,Star,Standard,0.0,0.0,Medium
102788,84,135657,161298.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,31170.0,Single,Nova,2018 Promotion,0.0,0.0,Low
102851,39,53975,53975.0,1247,224,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,60216.0,Single,Star,Standard,0.0,0.0,Medium
103043,43,66356,66356.0,449,81,Canada,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,97920.0,Married,Star,Standard,0.0,0.0,Medium
103304,37,62563,62563.0,947,170,Canada,Alberta,Banff,T4V 1D4,Male,Bachelor,67227.0,Married,Star,Standard,0.0,0.0,Medium
103340,44,62122,62122.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245.6094087527,Single,Star,Standard,0.0,0.0,Medium
103436,49,86455,86455.0,902,162,Canada,Quebec,Montreal,H2T 9K8,Male,Bachelor,67445.0,Single,Star,Standard,0.0,0.0,Medium
103490,45,74308,74308.0,0,0,Canada,British Columbia,Dawson Creek,U5I 4F1,Male,High School or Below,65543.0,Single,Nova,Standard,0.0,0.0,Medium
103502,18,30244,30244.0,344,62,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,66226.0,Married,Star,Standard,0.0,0.0,Medium
103699,24,36719,36719.0,0,0,Canada,Alberta,Peace River,T9O 2W2,Male,Bachelor,86388.0,Single,Nova,Standard,0.0,0.0,Medium
103731,33,53860,53860.0,489,88,Canada,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,90487.0,Married,Nova,Standard,0.0,8.0,Medium
103823,42,57809,57809.0,1014,183,Canada,Ontario,Toronto,M1R 4K3,Female,High School or Below,52820.0,Married,Nova,Standard,0.0,0.0,Medium
103862,37,69191,69191.0,2686,482,Canada,Ontario,Kingston,M9K 2P4,Female,Doctor,299560.0,Married,Star,Standard,0.0,0.0,High
103975,15,18061,18061.0,1102,198,Canada,Ontario,Toronto,M2Z 4K1,Male,Bachelor,71775.0,Married,Star,Standard,0.0,0.0,Medium
104103,32,40470,40470.0,742,134,Canada,British Columbia,Vancouver,V6E 3D9,Male,College,79245.6094087527,Married,Nova,Standard,0.0,0.0,Medium
104267,38,61606,65634.0,0,0,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,28642.0,Married,Star,2018 Promotion,0.0,0.0,Low
104353,42,73980,73980.0,526,95,Canada,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,104140.0,Married,Star,Standard,0.0,0.0,High
104586,40,65640,65640.0,473,85,Canada,Ontario,Ottawa,K1F 2R2,Male,Bachelor,86609.0,Divorced,Aurora,Standard,0.0,0.0,Medium
104673,48,64770,64770.0,546,98,Canada,Ontario,Sudbury,M5V 1G5,Male,Bachelor,60006.0,Married,Aurora,Standard,0.0,0.0,Medium
105063,27,40695,51588.0,0,0,Canada,Quebec,Montreal,H4G 3T4,Male,Doctor,236405.0,Divorced,Star,2018 Promotion,0.0,0.0,High
105073,52,43874,50718.0,0,0,Canada,Ontario,Toronto,M2M 6J7,Male,College,79245.6094087527,Single,Aurora,2018 Promotion,0.0,0.0,Medium
105214,35,52473,52473.0,1847,333,Canada,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,88863.0,Divorced,Star,Standard,0.0,0.0,Medium
105251,10,20733,20733.0,0,0,Canada,Ontario,Trenton,K8V 4B2,Female,Bachelor,80885.0,Married,Star,Standard,2017.0,0.0,Medium
105335,36,62882,62882.0,2193,394,Canada,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,53065.0,Single,Nova,Standard,0.0,0.0,Medium
105552,30,58554,58554.0,819,148,Canada,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,77935.0,Married,Nova,Standard,0.0,0.0,Medium
105921,49,70250,70250.0,1753,315,Canada,Quebec,Hull,J8Y 3Z5,Female,Bachelor,77255.0,Married,Star,Standard,0.0,0.0,Medium
105932,30,55256,55256.0,765,138,Canada,Newfoundland,St. John's,A1C 6H9,Male,Bachelor,62977.0,Married,Star,Standard,0.0,0.0,Medium
106037,51,68781,68781.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,94980.0,Married,Nova,Standard,0.0,0.0,Medium
106038,32,44279,44279.0,1377,248,Canada,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,47889.0,Married,Star,Standard,0.0,0.0,Low
106048,3,2103,2103.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Doctor,70755.0,Divorced,Star,Standard,0.0,0.0,Medium
106218,38,53572,53572.0,1209,218,Canada,Ontario,Toronto,P1W 1K4,Male,Master,111106.0,Married,Nova,Standard,0.0,0.0,High
106444,14,19680,19680.0,1590,286,Canada,British Columbia,Vancouver,V5R 1W3,Male,College,79245.6094087527,Divorced,Aurora,Standard,0.0,0.0,Medium
106477,23,29743,29743.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,52935.0,Divorced,Star,Standard,0.0,0.0,Medium
106509,10,13811,13811.0,0,0,Canada,Ontario,Toronto,M8Y 4K8,Male,Bachelor,54529.0,Married,Nova,Standard,2018.0,0.0,Medium
106589,0,0,0.0,0,0,Canada,British Columbia,Vancouver,V5R 1W3,Male,High School or Below,71630.0,Married,Star,Standard,2013.0,0.0,Medium
106616,6,9406,9406.0,0,0,Canada,Quebec,Montreal,H2T 2J6,Male,Bachelor,53879.0,Married,Star,Standard,0.0,0.0,Medium
106623,4,2092,2092.0,0,0,Canada,British Columbia,Victoria,V10 6T5,Male,Bachelor,77314.0,Married,Nova,Standard,0.0,0.0,Medium
106637,32,48721,48721.0,1770,319,Canada,Quebec,Quebec City,G1B 3L5,Male,Bachelor,86121.0,Married,Star,Standard,0.0,0.0,Medium
106689,23,34355,34355.0,1690,304,Canada,Ontario,Toronto,P1W 1K4,Female,Bachelor,61554.0,Married,Nova,Standard,0.0,0.0,Medium
106754,31,33368,33368.0,1167,210,Canada,Ontario,London,M5B 3E4,Female,Bachelor,49158.0,Married,Star,Standard,0.0,0.0,Low
106978,46,70762,70762.0,386,69,Canada,Quebec,Montreal,H2Y 4R4,Female,Bachelor,81959.0,Divorced,Nova,Standard,0.0,0.0,Medium
